name,domain,route,etymology,reason,zh,syllables,letters,risk,status_zh,tier,whois_hint
Leapack,leapack.com,A,leap + pack,Packleap 音节倒置，连跳狼群,三狼连猎,2,7,,已占用,—,DOMAIN NAME found
Rockleap,rockleap.com,A,rock + leap,岩石+连跳,岩跃猎,2,8,,已占用,—,DOMAIN NAME found
Fangrid,fangrid.com,A,fang + grid,狼牙×交点棋盘,牙格猎,2,7,,已占用,—,DOMAIN NAME found
Chainleap,chainleap.com,A,chain + leap,连续多吃,连跃猎,2,9,,已占用,—,DOMAIN NAME found
Flockleap,flockleap.com,A,flock + leap,跃入羊群,破群跃,2,9,,可注册,S,NO MATCH
Trileap,trileap.com,A,tri + leap,三狼+连跳,三连猎,2,7,,已占用,—,DOMAIN NAME found
Stoneleap,stoneleap.com,A,stone + leap,岩石变体,石跃猎,2,9,,已占用,—,DOMAIN NAME found
Fangleap,fangleap.com,A,fang + leap,狼牙+连跳,牙跃猎,2,8,,可注册,S,NO MATCH
Leapflock,leapflock.com,B,leap + flock,连跳切入羊群,跃群猎,2,9,,可注册,A,NO MATCH
Packrift,packrift.com,B,pack + rift,狼群撕开防线,裂群猎,2,8,,已占用,—,DOMAIN NAME found
Flockrift,flockrift.com,B,flock + rift,羊群防线撕裂,羊阵裂,2,9,,已占用,—,DOMAIN NAME found
Huntleap,huntleap.com,B,hunt + leap,猎+跳,猎跃,2,8,,已占用,—,DOMAIN NAME found
Gridleap,gridleap.com,B,grid + leap,棋盘格点+连跳,格跃棋,2,8,,已占用,—,DOMAIN NAME found
Lineleap,lineleap.com,B,line + leap,横竖直行吃线,线跃棋,2,8,,已占用,—,DOMAIN NAME found
Seasonleap,seasonleap.com,B,season + leap,四季章节,四季跃,3,10,,已占用,—,DOMAIN NAME found
Packfang,packfang.com,B,pack + fang,三狼成群,狼牙阵,2,8,,可注册,A,NO MATCH
Leapstone,leapstone.com,B,leap + stone,连跳+岩石,跃岩棋,2,9,,已占用,—,DOMAIN NAME found
Crossleap,crossleap.com,B,cross + leap,交点棋盘,交跃棋,2,9,,已占用,—,DOMAIN NAME found
Wolvleap,wolvleap.com,C,wolv + leap,wolves压缩+leap,狼跃猎,2,8,拼写略怪,可注册,B,NO MATCH
Packchomp,packchomp.com,C,pack + chomp,吃子爽感卡通,狼群噬,2,9,偏直白,可注册,B,NO MATCH
Huntgrid,huntgrid.com,C,hunt + grid,猎场棋盘,猎格棋,2,8,略泛,已占用,—,DOMAIN NAME found
Threefang,threefang.com,C,three + fang,三狼直译感,三牙猎,2,9,,已占用,—,DOMAIN NAME found
Fangpack,fangpack.com,C,fang + pack,fang+pack,牙群猎,2,8,,已占用,—,DOMAIN NAME found
Cleavpack,cleavpack.com,C,cleave + pack,裂阵狼群,裂阵狼,2,9,cleav拼写易错,可注册,B,NO MATCH
